"Index_logical","Index_offset",XBkTp,YBkTp,XBkBt,YBkBt
-1672,375,1225,-4100,-6225,-4100
-1671,376,1225,-4100,-6225,-4100
-1670,377,1225,-4100,-6225,-4100
-1669,378,1225,-4100,-6225,-4100
-1668,379,1225,-4100,-6225,-4100
-1667,380,1225,-4100,-6225,-4100
-1666,381,1225,-4100,-6225,-4100
-1665,382,1225,-4100,-6225,-4100
-1664,383,1225,-4100,-6225,-4100
-1663,384,1225,-4100,-6225,-4100
-1662,385,1225,-4100,-6225,-4100
-1661,386,1225,-4100,-6225,-4100
-1660,387,1225,-4100,-6225,-4100
-1659,388,1225,-4100,-6225,-4100
-1658,389,1225,-4100,-6225,-4100
-1657,390,1225,-4100,-6225,-4100
-1656,391,1225,-4100,-6225,-4100
-1655,392,1225,-4100,-6225,-4100
-1654,393,1225,-4100,-6225,-4100
-1653,394,1225,-4100,-6225,-4100
-1652,395,1225,-4100,-6225,-4100
-1651,396,1225,-4100,-6225,-4100
-1650,397,1225,-4100,-6225,-4100
-1649,398,1225,-4100,-6225,-4100
-1648,399,1225,-4100,-6225,-4100
-1647,400,1225,-4100,-6225,-4100
-1646,401,1225,-4100,-6225,-4100
-1645,402,1225,-4100,-6225,-4100
-1644,403,1225,-4100,-6225,-4100
-1643,404,1225,-4100,-6225,-4100
-1642,405,1225,-4100,-6225,-4100
-1641,406,1225,-4100,-6225,-4100
-1640,407,1225,-4100,-6225,-4100
-1639,408,1225,-4100,-6225,-4100
-1638,409,1225,-4100,-6225,-4100
-1637,410,1225,-4100,-6225,-4100
-1636,411,1225,-4100,-6225,-4100
-1635,412,1225,-4100,-6225,-4100
-1634,413,1225,-4100,-6225,-4100
-1633,414,1225,-4100,-6225,-4100
-1632,415,1225,-4100,-6225,-4100
-1631,416,1225,-4100,-6225,-4100
-1630,417,1225,-4100,-6225,-4100
-1629,418,1225,-4100,-6225,-4100
-1628,419,1225,-4100,-6225,-4100
-1627,420,1225,-4100,-6225,-4100
-1626,421,1225,-4100,-6225,-4100
-1625,422,1225,-4100,-6225,-4100
-1624,423,1225,-4100,-6225,-4100
-1623,424,1225,-4100,-6225,-4100
-1622,425,1225,-4100,-6225,-4100
-1621,426,1225,-4100,-6225,-4100
-1620,427,1225,-4100,-6225,-4100
-1619,428,1225,-4100,-6225,-4100
-1618,429,1225,-4100,-6225,-4100
-1617,430,1225,-4100,-6225,-4100
-1616,431,1225,-4100,-6225,-4100
-1615,432,1225,-4100,-6225,-4100
-1614,433,1225,-4100,-6225,-4100
-1613,434,1225,-4100,-6225,-4100
-1612,435,1225,-4100,-6225,-4100
-1611,436,1225,-4100,-6225,-4100
-1610,437,1225,-4100,-6225,-4100
-1609,438,1225,-4100,-6225,-4100
-1608,439,1225,-4100,-6225,-4100
-1607,440,1225,-4100,-6225,-4100
-1606,441,1225,-4100,-6225,-4100
-1605,442,1225,-4100,-6225,-4100
-1604,443,1225,-4100,-6225,-4100
-1603,444,1225,-4100,-6225,-4100
-1602,445,1225,-4100,-6225,-4100
-1601,446,1225,-4100,-6225,-4100
-1600,447,1225,-4100,-6225,-4100
-1599,448,1225,-4100,-6225,-4100
-1598,449,1225,-4100,-6225,-4100
-1597,450,1225,-4100,-6225,-4100
-1596,451,1225,-4100,-6225,-4100
-1595,452,1225,-4100,-6225,-4100
-1594,453,1225,-4100,-6225,-4100
-1593,454,1225,-4100,-6225,-4100
-1592,455,1225,-4100,-6225,-4100
-1591,456,1225,-4100,-6225,-4100
-1590,457,1225,-4100,-6225,-4100
-1589,458,1225,-4100,-6225,-4100
-1588,459,1225,-4100,-6225,-4100
-1587,460,1225,-4100,-6225,-4100
-1586,461,1225,-4100,-6225,-4100
-1585,462,1225,-4100,-6225,-4100
-1584,463,1225,-4100,-6225,-4100
-1583,464,1225,-4100,-6225,-4100
-1582,465,1225,-4100,-6225,-4100
-1581,466,1225,-4100,-6225,-4100
-1580,467,1225,-4100,-6225,-4100
-1579,468,1225,-4100,-6225,-4100
-1578,469,1225,-4100,-6225,-4100
-1577,470,1225,-4100,-6225,-4100
-1576,471,1225,-4100,-6225,-4100
-1575,472,1225,-4100,-6225,-4100
-1574,473,1225,-4100,-6225,-4100
-1573,474,1225,-4100,-6225,-4100
-1572,475,1225,-4100,-6225,-4100
-1571,476,1225,-4100,-6225,-4100
-1570,477,1225,-4100,-6225,-4100
-1569,478,1225,-4100,-6225,-4100
-1568,479,1225,-4100,-6225,-4100
-1567,480,1225,-4100,-6225,-4100
-1566,481,1225,-4100,-6225,-4100
-1565,482,1225,-4100,-6225,-4100
-1564,483,1225,-4100,-6225,-4100
-1563,484,1225,-4100,-6225,-4100
-1562,485,1225,-4100,-6225,-4100
-1561,486,1225,-4100,-6225,-4100
-1560,487,1225,-4100,-6225,-4100
-1559,488,1225,-4100,-6225,-4100
-1558,489,1225,-4100,-6225,-4100
-1557,490,1225,-4100,-6225,-4100
-1556,491,1225,-4100,-6225,-4100
-1555,492,1225,-4100,-6225,-4100
-1554,493,1225,-4100,-6225,-4100
-1553,494,1225,-4100,-6225,-4100
-1552,495,1225,-4100,-6225,-4100
-1551,496,1225,-4100,-6225,-4100
-1550,497,1225,-4100,-6225,-4100
