Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
2.000000000000000000e+01,2.865449037488855311e+01,6.504126782013192276e+00,2.850000000000000000e+01,-6.000000000000000000e+00,3.032883059921002822e+00,4.412617501654381158e+00
2.000000000000000000e+01,2.861727562958349580e+01,3.587779484404357566e-01,2.850000000000000000e+01,0.000000000000000000e+00,3.282319459054360955e+00,4.404688494650943476e+00
2.000000000000000000e+01,2.864514146573541709e+01,-5.658932991766390863e+00,2.850000000000000000e+01,6.000000000000000000e+00,3.230309885641633016e+00,4.437207635593262367e+00
2.000000000000000000e+01,2.853091093346517582e+01,-8.691778699893399462e+00,2.850000000000000000e+01,9.000000000000000000e+00,3.145868559939582809e+00,4.303127627221631890e+00
2.000000000000000000e+01,2.856415423101639561e+01,-1.164764884887697960e+01,2.850000000000000000e+01,1.200000000000000000e+01,3.268968117517490057e+00,4.391428212170578327e+00
2.000000000000000000e+01,2.840412351480837216e+01,-1.971937642124811774e+01,2.850000000000000000e+01,2.000000000000000000e+01,3.499467253876736184e+00,4.230974995735799382e+00
2.000000000000000000e+01,2.819285233593905815e+01,-2.774666801898570156e+01,2.850000000000000000e+01,2.800000000000000000e+01,4.147365770450074152e+00,4.563232140264272374e+00
2.000000000000000000e+01,2.810777220071330973e+01,-3.587068466603297168e+01,2.850000000000000000e+01,3.600000000000000000e+01,4.572382091938872684e+00,4.315111863320031382e+00
2.000000000000000000e+01,2.789231327825902795e+01,-4.408955142696105867e+01,2.850000000000000000e+01,4.400000000000000000e+01,5.574257029440754074e+00,4.213477332165427747e+00
2.000000000000000000e+01,3.674593384497729431e+01,4.338970672109869042e+01,3.720000000000000284e+01,-4.400000000000000000e+01,5.674383358535003197e+00,3.774863154194943338e+00
2.000000000000000000e+01,3.690455923288620710e+01,3.564098134250849625e+01,3.720000000000000284e+01,-3.600000000000000000e+01,4.714834193301653542e+00,4.031479324568066680e+00
2.000000000000000000e+01,3.694354708647219354e+01,2.770577842848909711e+01,3.720000000000000284e+01,-2.800000000000000000e+01,4.317612325894427450e+00,4.026076263619073892e+00
2.000000000000000000e+01,3.710937189662415392e+01,1.998350296236348811e+01,3.720000000000000284e+01,-2.000000000000000000e+01,3.749061765645310462e+00,4.032485542353936303e+00
2.000000000000000000e+01,3.707399456234043100e+01,1.218850154013213682e+01,3.720000000000000284e+01,-1.200000000000000000e+01,3.689828230096323658e+00,4.062271192913033957e+00
2.000000000000000000e+01,3.710863229834401267e+01,9.210337559771394567e+00,3.720000000000000284e+01,-9.000000000000000000e+00,3.652166554161837997e+00,4.170759808018327242e+00
2.000000000000000000e+01,3.703647516663957617e+01,6.244645559169697435e+00,3.720000000000000284e+01,-6.000000000000000000e+00,3.573498940472700891e+00,4.220684762594673067e+00
2.000000000000000000e+01,3.710037819394769798e+01,2.793214368284445692e-01,3.720000000000000284e+01,0.000000000000000000e+00,3.592765088138473395e+00,4.141607570816240091e+00
2.000000000000000000e+01,3.700806157532272778e+01,-5.710417980548343486e+00,3.720000000000000284e+01,6.000000000000000000e+00,3.554655990497034068e+00,4.170807196642003056e+00
2.000000000000000000e+01,3.704759512707953917e+01,-8.713965365256628459e+00,3.720000000000000284e+01,9.000000000000000000e+00,3.442844264204177662e+00,3.992313325676235980e+00
2.000000000000000000e+01,3.695187393627634265e+01,-1.177043227090145017e+01,3.720000000000000284e+01,1.200000000000000000e+01,3.561918950938885775e+00,4.067588040889434708e+00
2.000000000000000000e+01,3.690064094222033475e+01,-1.971534125954766026e+01,3.720000000000000284e+01,2.000000000000000000e+01,3.749381841826578299e+00,4.144307319132919609e+00
2.000000000000000000e+01,3.667645025168526018e+01,-2.768202503094483191e+01,3.720000000000000284e+01,2.800000000000000000e+01,4.074183201402441057e+00,4.109169135756675750e+00
2.000000000000000000e+01,3.649397596559982304e+01,-3.583693971904407505e+01,3.720000000000000284e+01,3.600000000000000000e+01,4.669740381772817805e+00,4.048932396699520986e+00
2.000000000000000000e+01,3.624215935746255468e+01,-4.381311935615730135e+01,3.720000000000000284e+01,4.400000000000000000e+01,5.754694191810148851e+00,4.112550547451113481e+00
2.000000000000000000e+01,4.532751680118776960e+01,4.302764364542721154e+01,4.650000000000000000e+01,-4.400000000000000000e+01,6.369342509045395673e+00,3.820082605839281609e+00
2.000000000000000000e+01,4.569086700000027434e+01,3.535337267664628058e+01,4.650000000000000000e+01,-3.600000000000000000e+01,5.515000425026543418e+00,3.790411893057969106e+00
2.000000000000000000e+01,4.586163285439178594e+01,2.737057369733043899e+01,4.650000000000000000e+01,-2.800000000000000000e+01,4.749712420956273995e+00,3.890770925400402369e+00
2.000000000000000000e+01,4.589493328979425968e+01,1.955286324628407968e+01,4.650000000000000000e+01,-2.000000000000000000e+01,4.094670686227527057e+00,3.628711210357341344e+00
2.000000000000000000e+01,4.590234589494568951e+01,1.179887248369869468e+01,4.650000000000000000e+01,-1.200000000000000000e+01,3.935078826589465173e+00,3.949018858652014963e+00
2.000000000000000000e+01,4.598843897279795101e+01,8.906817666537458322e+00,4.650000000000000000e+01,-9.000000000000000000e+00,3.778794354403870237e+00,3.838224482911070545e+00
2.000000000000000000e+01,4.593244168829683360e+01,5.974098284872509268e+00,4.650000000000000000e+01,-6.000000000000000000e+00,3.781729734460899550e+00,3.893891585038344871e+00
2.000000000000000000e+01,4.596244709914142135e+01,1.299173136526030892e-01,4.650000000000000000e+01,0.000000000000000000e+00,3.735940169222924823e+00,3.781683126516365512e+00
2.000000000000000000e+01,4.594098904807238171e+01,-5.892825866433822668e+00,4.650000000000000000e+01,6.000000000000000000e+00,3.823313316463337941e+00,3.855567801314301324e+00
2.000000000000000000e+01,4.590462275713122864e+01,-8.829952702132851883e+00,4.650000000000000000e+01,9.000000000000000000e+00,3.843260670089497122e+00,3.715337154014320742e+00
2.000000000000000000e+01,4.578640658055122259e+01,-1.175368955717795494e+01,4.650000000000000000e+01,1.200000000000000000e+01,3.820080303056208937e+00,3.773831252777467782e+00
2.000000000000000000e+01,4.576052697838235161e+01,-1.958909941832121504e+01,4.650000000000000000e+01,2.000000000000000000e+01,3.988501728789291434e+00,3.765677678379284465e+00
2.000000000000000000e+01,4.558992727150574353e+01,-2.760244415485209757e+01,4.650000000000000000e+01,2.800000000000000000e+01,4.777974760189027670e+00,3.797212806032558507e+00
2.000000000000000000e+01,4.538113921381802385e+01,-3.571607006033650578e+01,4.650000000000000000e+01,3.600000000000000000e+01,5.500979466329364520e+00,3.894489379416280261e+00
2.000000000000000000e+01,4.498584400137117711e+01,-4.367400181802103276e+01,4.650000000000000000e+01,4.400000000000000000e+01,6.301862432011762216e+00,3.860843101494220164e+00
2.000000000000000000e+01,5.277515136762891501e+01,4.301434004409526324e+01,5.529999999999999716e+01,-4.400000000000000000e+01,8.969479547808944631e+00,3.729836383528311039e+00
2.000000000000000000e+01,5.374643233118049324e+01,3.498226774928664184e+01,5.529999999999999716e+01,-3.600000000000000000e+01,6.877901606368876486e+00,3.579586943701145607e+00
2.000000000000000000e+01,5.414368428609305539e+01,2.717291279959594519e+01,5.529999999999999716e+01,-2.800000000000000000e+01,5.762435331375012737e+00,3.649110250352986196e+00
2.000000000000000000e+01,5.426230290891757591e+01,1.912291417040526298e+01,5.529999999999999716e+01,-2.000000000000000000e+01,5.214773677396367546e+00,3.556057872011135768e+00
2.000000000000000000e+01,5.429806531135984926e+01,1.159024426322613444e+01,5.529999999999999716e+01,-1.200000000000000000e+01,4.893201317851223919e+00,3.443451444973121056e+00
2.000000000000000000e+01,5.438646148179373085e+01,8.656614304369904644e+00,5.529999999999999716e+01,-9.000000000000000000e+00,4.692717781108743047e+00,3.604321537580829293e+00
2.000000000000000000e+01,5.432474512706959047e+01,5.762470777128227972e+00,5.529999999999999716e+01,-6.000000000000000000e+00,4.791610968719646202e+00,3.536073808707765220e+00
2.000000000000000000e+01,5.430769911165641872e+01,-7.951346683097369750e-02,5.529999999999999716e+01,0.000000000000000000e+00,4.685711187143950518e+00,3.546174921410893965e+00
2.000000000000000000e+01,5.423267141166023464e+01,-5.990819394911463647e+00,5.529999999999999716e+01,6.000000000000000000e+00,4.790666302934892151e+00,3.482602863977553476e+00
2.000000000000000000e+01,5.425162814436576042e+01,-8.867305734667578321e+00,5.529999999999999716e+01,9.000000000000000000e+00,4.747362147372338192e+00,3.383705936110926515e+00
2.000000000000000000e+01,5.417530212259180900e+01,-1.177780156538728207e+01,5.529999999999999716e+01,1.200000000000000000e+01,4.923346046349391436e+00,3.403818962520016811e+00
2.000000000000000000e+01,5.399056577025420722e+01,-1.971227188632186156e+01,5.529999999999999716e+01,2.000000000000000000e+01,5.273893977842899261e+00,3.679079271795269168e+00
2.000000000000000000e+01,5.378984600221254198e+01,-2.767684296481825257e+01,5.529999999999999716e+01,2.800000000000000000e+01,5.874307631891408477e+00,3.632746757476823518e+00
2.000000000000000000e+01,5.335682133644391456e+01,-3.569755314974342042e+01,5.529999999999999716e+01,3.600000000000000000e+01,7.191263906671999884e+00,3.694527073098755832e+00
2.000000000000000000e+01,5.230178818603160806e+01,-4.378380404517982072e+01,5.529999999999999716e+01,4.400000000000000000e+01,8.984539551781713485e+00,3.870332712839428702e+00
4.000000000000000000e+01,5.270843094473305346e-01,4.388080582531838303e+01,0.000000000000000000e+00,-4.400000000000000000e+01,3.248952431976292132e+00,3.660571188016656929e+00
4.000000000000000000e+01,7.677440097060052038e-01,3.629239590961943662e+01,0.000000000000000000e+00,-3.600000000000000000e+01,3.511007510642432994e+00,3.882431562541389880e+00
4.000000000000000000e+01,4.316678842971257701e-01,2.857891103571095925e+01,0.000000000000000000e+00,-2.800000000000000000e+01,3.093613959806655878e+00,4.113969832223784096e+00
4.000000000000000000e+01,2.687135934814505189e-01,2.094102576791870263e+01,0.000000000000000000e+00,-2.000000000000000000e+01,2.898781540346552887e+00,4.071578598486635947e+00
4.000000000000000000e+01,1.801794058769627394e-01,1.299897174032776981e+01,0.000000000000000000e+00,-1.200000000000000000e+01,2.649503993073206498e+00,4.172779989438908821e+00
4.000000000000000000e+01,2.843252661419553573e-01,9.973863624846600828e+00,0.000000000000000000e+00,-9.000000000000000000e+00,2.772809275630232939e+00,4.166369977482041520e+00
4.000000000000000000e+01,2.039535934940320261e-01,6.957797828569264986e+00,0.000000000000000000e+00,-6.000000000000000000e+00,2.527170908342828870e+00,4.485315197484140981e+00
4.000000000000000000e+01,3.184977272956315830e-01,9.822946095278370926e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.698932155680613842e+00,4.605385853753309000e+00
4.000000000000000000e+01,1.324474643451759026e-01,-5.158136043563167128e+00,0.000000000000000000e+00,6.000000000000000000e+00,2.600270879012140046e+00,4.397160531896950886e+00
4.000000000000000000e+01,3.118450320388019281e-01,-8.171120079125101299e+00,0.000000000000000000e+00,9.000000000000000000e+00,2.683719538368975144e+00,4.465000768110196638e+00
4.000000000000000000e+01,8.977686924131786372e-02,-1.116568508397109838e+01,0.000000000000000000e+00,1.200000000000000000e+01,2.924177560069168624e+00,4.149389973932530395e+00
4.000000000000000000e+01,2.085303711233396085e-01,-1.919500042859804978e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.155753379973389450e+00,4.164265108745112798e+00
